Page Number,Archive / Non Archive,Financial Year,Name of the Insurer,UIN,Product Name,Date of Approval,Documents,Type Of Product,document_link
39,Non-Archived,2020-2021,Royal Sundaram General Insurance Co. Ltd.,RSAHLIP21437V022021,Secure All,24-09-2020,RSAHLIP21437V022021_2020-2021.pdf,Revision,https://irdai.gov.in/documents/37343/931203/RSAHLIP21437V022021_2020-2021.pdf/11ceee65-09f7-0f7c-48c5-2f8a51ba8a52?version=1.1&t=1668753957379&download=true
39,Non-Archived,2020-2021,SBI General Insurance Co. Ltd.,SBIHLIP21120V012021,"Corona Rakshak Policy, SBIGeneral Insurance Co. Ltd",23-07-2020,SBIHLIP21120V012021_2020-2021.pdf,Individual,https://irdai.gov.in/documents/37343/931203/SBIHLIP21120V012021_2020-2021.pdf/b7d46f49-a8a7-4ede-9c02-f9161dfce5ff?version=1.1&t=1668754707868&download=true
39,Non-Archived,2020-2021,The New India Assurance Co. Ltd.,NIAHLIP21314V022021,Universal Health Insurance Policy (APL),21-09-2020,NIAHLIP21314V022021_2020-2021.pdf,Revision,https://irdai.gov.in/documents/37343/931203/NIAHLIP21314V022021_2020-2021.pdf/82dac3b7-f31f-1baa-2a05-1f1f9e2b210e?version=1.1&t=1668595056499&download=true
39,Non-Archived,2020-2021,The New India Assurance Co. Ltd.,NIAHLIP21315V022021,Senior Citizen Mediclaim Policy,21-09-2020,NIAHLIP21315V022021_2020-2021.pdf,Revision,https://irdai.gov.in/documents/37343/931203/NIAHLIP21315V022021_2020-2021.pdf/b3618db7-1c28-ee5c-0ef8-a5270b4339c4?version=1.1&t=1668589499020&download=true
39,Non-Archived,2020-2021,National Insurance Co. Ltd.,NICHLIP21113V032021,Vidyarthi  Mediclaim for Students,13-07-2020,NICHLIP21113V032021i_2020-2021.pdf,Revision,https://irdai.gov.in/documents/37343/931203/NICHLIP21113V032021i_2020-2021.pdf/753e6426-f0b8-bb40-0ac1-2728168ad0b5?version=1.2&t=1668663545858&download=true
39,Non-Archived,2020-2021,The New India Assurance Co. Ltd.,NIAHLIP21316V022021,Jan Arogya Bima Policy,21-09-2020,NIAHLIP21316V022021_2020-2021.pdf,Revision,https://irdai.gov.in/documents/37343/931203/NIAHLIP21316V022021_2020-2021.pdf/4887603c-8ac5-3a1c-f893-9c558805ef98?version=1.1&t=1668589531060&download=true
39,Non-Archived,2020-2021,The New India Assurance Co. Ltd.,NIAHLGP21236V022021,Good Health Group Mediclaim Policy,09-11-2020,NIAHLGP21236V022021_2020-2021.pdf,Revision,https://irdai.gov.in/documents/37343/931203/NIAHLGP21236V022021_2020-2021.pdf/b9929e7f-d737-6d45-bb9b-04f5017f189b?version=1.1&t=1668594203889&download=true
39,Non-Archived,2020-2021,The New India Assurance Co. Ltd.,NIAHLGP21280V032021,Cancer Medical Expenses- Group,18-09-2020,NIAHLGP21280V032021_2020-2021.pdf,Revision,https://irdai.gov.in/documents/37343/931203/NIAHLGP21280V032021_2020-2021.pdf/8396d3a0-c908-1683-a5d1-184403df42da?version=1.1&t=1668594240574&download=true
39,Non-Archived,2020-2021,The New India Assurance Co. Ltd.,NIAHLGP21281V022021,New India Flexi Floater Group Mediclaim Policy,18-09-2020,NIAHLGP21281V022021_2020-2021.pdf,Revision,https://irdai.gov.in/documents/37343/931203/NIAHLGP21281V022021_2020-2021.pdf/149986c7-3d65-fb52-ea3b-1bb2d6e8892e?version=1.1&t=1668594280344&download=true
39,Non-Archived,2020-2021,The New India Assurance Co. Ltd.,NIAHLGP21282V022021,New India Flexi Group Mediclaim Policy,18-09-2020,NIAHLGP21282V022021_2020-2021.pdf,Revision,https://irdai.gov.in/documents/37343/931203/NIAHLGP21282V022021_2020-2021.pdf/e2a33e90-6427-5d92-1128-f33cc5d883b1?version=1.1&t=1668594325426&download=true
