Page Number,Archive / Non Archive,S.no,Financial Year,Name of the Insurer,Product Name,Type Of Product,UIN,Date of Approval,Documents,document_link
88,Non-Archived,GEN3409,2019-2020,Kotak Mahindra General Insurance Company Limited,Kotak Shop Secure - Section I - Earthquake (fire and shock),Add on,IRDAN152RP0011V01201920/A0060V01201920,16-02-2020,IRDAN152RP0011V01201920A0060V01201920_GEN3409.pdf,https://irdai.gov.in/documents/37343/993134/IRDAN152RP0011V01201920A0060V01201920_GEN3409.pdf/7b220d50-4c04-6145-b95e-f0dcd69a961c?version=1.1&t=1668339270945&download=true
88,Non-Archived,GEN3413,2019-2020,Kotak Mahindra General Insurance Company Limited,Kotak Shop Secure - Section I - Loss of rent clause,Add on,IRDAN152RP0011V01201920/A0064V01201920,16-02-2020,IRDAN152RP0011V01201920A0064V01201920_GEN3413.pdf,https://irdai.gov.in/documents/37343/993134/IRDAN152RP0011V01201920A0064V01201920_GEN3413.pdf/cb054a30-e6a0-34ae-21e9-f8bc79f3add0?version=1.1&t=1668339623390&download=true
88,Non-Archived,GEN3418,2019-2020,Kotak Mahindra General Insurance Company Limited,KotakShopSecure-SectionI-Deteriorationofstocks in cold storage premises due to change in temperature,Add on,IRDAN152RP0011V01201920/A0069V01201920,16-02-2020,IRDAN152RP0011V01201920A0069V01201920_GEN3418.pdf,https://irdai.gov.in/documents/37343/993134/IRDAN152RP0011V01201920A0069V01201920_GEN3418.pdf/dd5340c1-6abe-0c32-c623-5db478a4fcb3?version=1.1&t=1668340016560&download=true
88,Non-Archived,GEN3414,2019-2020,Kotak Mahindra General Insurance Company Limited,Kotak Shop Secure - Section I - Additional expenses of rent for an alternative accommodation,Add on,IRDAN152RP0011V01201920/A0065V01201920,16-02-2020,IRDAN152RP0011V01201920A0065V01201920_GEN3414.pdf,https://irdai.gov.in/documents/37343/993134/IRDAN152RP0011V01201920A0065V01201920_GEN3414.pdf/b94cdd22-d996-510e-0bc0-7596ebce55b3?version=1.1&t=1668339702134&download=true
88,Non-Archived,GEN3421,2019-2020,Kotak Mahindra General Insurance Company Limited,Kotak Shop Secure - Section II - Ingress/egress,Add on,IRDAN152RP0011V01201920/A0073V01201920,16-02-2020,IRDAN152RP0011V01201920A0073V01201920_GEN3421.pdf,https://irdai.gov.in/documents/37343/993134/IRDAN152RP0011V01201920A0073V01201920_GEN3421.pdf/ddaa8765-4fc4-1a7f-c4ac-15f6d3a90232?version=1.1&t=1668340385344&download=true
88,Non-Archived,GEN3423,2019-2020,Kotak Mahindra General Insurance Company Limited,Kotak Shop Secure - Section II - Terrorism Damage Cover Endorsement,Add on,IRDAN152RP0011V01201920/A0075V01201920,16-02-2020,IRDAN152RP0011V01201920A0075V01201920_GEN3423.pdf,https://irdai.gov.in/documents/37343/993134/IRDAN152RP0011V01201920A0075V01201920_GEN3423.pdf/6937c644-b7ef-51c8-f932-e2b5171006f4?version=1.1&t=1668340691662&download=true
88,Non-Archived,GEN3425,2019-2020,Kotak Mahindra General Insurance Company Limited,"Kotak Shop Secure - Section III - Riot, strike and malicious damage",Add on,IRDAN152RP0011V01201920/A0077V01201920,16-02-2020,IRDAN152RP0011V01201920A0077V01201920_GEN3425.pdf,https://irdai.gov.in/documents/37343/993134/IRDAN152RP0011V01201920A0077V01201920_GEN3425.pdf/ad3816be-169a-9f25-b6d6-06d8e56f6321?version=1.1&t=1668341015087&download=true
88,Non-Archived,GEN3426,2019-2020,Kotak Mahindra General Insurance Company Limited,Kotak Shop Secure - Section III - First loss basis clause,Add on,IRDAN152RP0011V01201920/A0078V01201920,16-02-2020,IRDAN152RP0011V01201920A0078V01201920_GEN3426.pdf,https://irdai.gov.in/documents/37343/993134/IRDAN152RP0011V01201920A0078V01201920_GEN3426.pdf/a6a8c32d-6a16-cf1c-34ad-5dc89a6f03af?version=1.1&t=1668400923290&download=true
88,Non-Archived,GEN3424,2019-2020,Kotak Mahindra General Insurance Company Limited,Kotak Shop Secure - Section III - Theft cover,Add on,IRDAN152RP0011V01201920/A0076V01201920,16-02-2020,IRDAN152RP0011V01201920A0076V01201920_GEN3424.pdf,https://irdai.gov.in/documents/37343/993134/IRDAN152RP0011V01201920A0076V01201920_GEN3424.pdf/46fdc8bb-3c57-1272-8724-0e775183154c?version=1.1&t=1668340810956&download=true
88,Non-Archived,GEN3411,2019-2020,Kotak Mahindra General Insurance Company Limited,Kotak Shop Secure - Section I - Leakage cover,Add on,IRDAN152RP0011V01201920/A0062V01201920,16-02-2020,IRDAN152RP0011V01201920A0062V01201920_GEN3411.pdf,https://irdai.gov.in/documents/37343/993134/IRDAN152RP0011V01201920A0062V01201920_GEN3411.pdf/7ee1ff9e-b202-af92-e583-ec56ac3fc5c8?version=1.1&t=1668339424072&download=true
