Page Number,Archive / Non Archive,Financial Year,Name of the Insurer,Product Name,UIN,Type Of Product,Date Of Launch/Effecting Modification,Date Of Closing / Withdrawal,Protection/ Savings/ Retirement,Par/Non-par,Individual/Group,Remarks,Download,document_link
12,Non-Archived,2020-21,Tata AIA Life Insurance Co. Ltd,Tata AIA Life Insurance Group Sampoorna Raksha,110N154V01,Non-ULIP,2020-08-0505-08-2020,----,Protection,Non-par,Group,,Tata AIA Life  Insurance Group Sampoorna Raksha - Policy Document_Waterm_2020-2117.2 MB,https://irdai.gov.in/documents/37343/563751/Tata+AIA+Life++Insurance+Group+Sampoorna+Raksha+-+Policy+Document_Waterm_2020-21.pdf/85b1f808-20f5-8381-7f30-8842fe7e132c?version=1.1&t=1667380357166&download=true
12,Non-Archived,2020-21,SBI Life Insurance Co. Ltd.,SBI Life - Annuity Plus,111N083V10,Non-Linked,2020-11-2424-11-2020,----,Retirement,Non-Par,Individual,,SBILifeAnnuityPlusPD_2020-211.1 MB,https://irdai.gov.in/documents/37343/563751/SBILifeAnnuityPlusPD_2020-21.pdf/c3576892-794a-16c1-9fd0-2b28aef5c614?version=1.1&t=1668076103005&download=true
12,Non-Archived,2020-21,Bharti AXA Life Insurance Co. Ltd,Bharti AXA Life Grow Wealth,130L088V03,ULIP,2020-10-1919-10-2020,----,Savings/Investment,Non-Par,Individual,,Bharti AXA Life Grow Wealth Policy Bond_2020-211.4 MB,https://irdai.gov.in/documents/37343/563751/Bharti+AXA+Life+Grow+Wealth+Policy+Bond_2020-21.pdf/c81380fc-b895-9602-de3e-a078a69ff666?version=1.1&t=1667460788799&download=true
12,Non-Archived,2020-21,Tata AIA Life Insurance Co. Ltd,Tata AIA Life Insurance Sampoorna Raksha,110N129V05,Non-ULIP,2020-08-0505-08-2020,----,Protection,Non-par,Individual,,Tata AIA Life Insurance Sampoorna Raksha (110N129V05) - Policy Document__2020-219.3 MB,https://irdai.gov.in/documents/37343/563751/Tata+AIA+Life+Insurance+Sampoorna+Raksha+%28110N129V05%29+-+Policy+Document__2020-21.pdf/5a0a9acb-0c54-adeb-40c0-201818192b31?version=1.1&t=1667380132881&download=true
12,Non-Archived,2020-21,SBI Life Insurance Co. Ltd.,SBI Life - Saral Jeevan Bima,111N128V01,Non-Linked,2021-02-0303-02-2021,----,Protection,Non-Par,Individual,,SBI Life - Saral Jeevan Bima_PD_2020-21767 KB,https://irdai.gov.in/documents/37343/563751/SBI+Life+-+Saral+Jeevan+Bima_PD_2020-21.pdf/62c5de3d-fddd-f4b1-c294-ab466fe9221e?version=1.1&t=1668076574870&download=true
12,Non-Archived,2020-21,Canara HSBC Oriental Bank of Commerce Life Insurance Co. Ltd.,Canara HSBC Oriental Bank of Commerce Life Insurance iSelect Star Term Plan,136N073V01,Non-ULIP,2020-11-1313-11-2020,2021-02-0606-02-2021,Protection,Non-par,Individual,,iSelect Star Term Plan_Policy Document_2020-21757 KB,https://irdai.gov.in/documents/37343/563751/iSelect+Star+Term+Plan_Policy+Document_2020-21.pdf/81e4687b-f3a7-0c15-7e15-a8649407685b?version=1.1&t=1667467135776&download=true
12,Non-Archived,2020-21,SBI Life Insurance Co. Ltd.,SBI Life - Sampoorn Cancer Suraksha,111N109V03,Non-Linked,2020-12-1414-12-2020,----,Protection,Non-Par,Individual,,SBI Life - Sampoorn Cancer Suraksha_PD_2020-211.8 MB,https://irdai.gov.in/documents/37343/563751/SBI+Life+-+Sampoorn+Cancer+Suraksha_PD_2020-21.pdf/42d95a06-18d3-892e-7aab-09203d57f381?version=1.1&t=1668076482808&download=true
12,Non-Archived,2020-21,Bharti AXA Life Insurance Co. Ltd,Bharti AXA Life Guaranteed Income Pro,130N101V01,Non-ULIP,2020-11-2525-11-2020,----,Savings,Non-Par,Individual,,Bharti AXA_Guaranteed Income Pro_PD_V3_2020-211.3 MB,https://irdai.gov.in/documents/37343/563751/Bharti+AXA_Guaranteed+Income+Pro_PD_V3_2020-21.pdf/0f407a31-82bc-0eab-d04f-92b79d91fd65?version=1.1&t=1667460883835&download=true
12,Non-Archived,2020-21,Canara HSBC Oriental Bank of Commerce Life Insurance Co. Ltd.,Canara HSBC Oriental Bank of Commerce Life Insurance Pension4life Plan,136N071V05,Non-ULIP,2021-01-1818-01-2021,----,Retirement,Non-par,Individual,Annuity,Pension4life_Policy Contract_136N071V05_2020-21534 KB,https://irdai.gov.in/documents/37343/563751/Pension4life_Policy+Contract_136N071V05_2020-21.pdf/00be506f-4cb0-8b24-b42d-042da509461b?version=1.1&t=1667467679842&download=true
12,Non-Archived,2020-21,SBI Life Insurance Co. Ltd.,SBI Life - Poorna Suraksha,111N110V03,Non-Linked,2020-12-1414-12-2020,----,Protection,Non-Par,Individual,,SBI Life - Poorna Suraksha_PD_2020-211.5 MB,https://irdai.gov.in/documents/37343/563751/SBI+Life+-+Poorna+Suraksha_PD_2020-21.pdf/f736bf14-ab47-389b-e7c6-74ae79fec6f3?version=1.1&t=1668076390074&download=true
